epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,1162.29,0.44533,0.23088,0.01405,0.80903,0.68086,0.77462,0.66317,0.66031,1.16018,0.02264,0.000899908,0.000899908,0.000899908
105,1537.37,0.45652,0.24439,0.01441,0.7994,0.68683,0.77439,0.66209,0.66196,1.15952,0.02268,0.000898025,0.000898025,0.000898025
106,1912.76,0.44925,0.23913,0.01423,0.79664,0.68415,0.77378,0.66217,0.66208,1.15747,0.02269,0.000896127,0.000896127,0.000896127
107,2288.29,0.44951,0.24115,0.01422,0.80076,0.68094,0.77483,0.66322,0.663,1.15627,0.02271,0.000894213,0.000894213,0.000894213
108,2662.44,0.44639,0.24008,0.01411,0.80249,0.686,0.77543,0.66338,0.66182,1.15405,0.02268,0.000892283,0.000892283,0.000892283
109,3037.28,0.4451,0.22855,0.01394,0.8008,0.68457,0.7745,0.66312,0.66273,1.15268,0.02269,0.000890339,0.000890339,0.000890339
110,3411.49,0.44526,0.23904,0.01395,0.8118,0.68356,0.77573,0.66441,0.66395,1.15299,0.02272,0.000888379,0.000888379,0.000888379
111,3785.17,0.44174,0.22217,0.01393,0.79798,0.68591,0.77522,0.66298,0.66279,1.14581,0.02269,0.000886404,0.000886404,0.000886404
112,4160.21,0.44255,0.22946,0.01393,0.78722,0.68692,0.77473,0.66226,0.66158,1.1517,0.02267,0.000884414,0.000884414,0.000884414
113,4534.84,0.43791,0.23184,0.01374,0.81909,0.67316,0.77138,0.65902,0.66133,1.15811,0.02266,0.000882409,0.000882409,0.000882409
114,4909.15,0.43377,0.22354,0.0136,0.82152,0.67273,0.77234,0.65954,0.66261,1.15568,0.02273,0.000880389,0.000880389,0.000880389
115,5284.87,0.43019,0.22039,0.01351,0.7915,0.68888,0.77144,0.65853,0.66506,1.15224,0.02276,0.000878354,0.000878354,0.000878354
116,5674.2,0.43122,0.22032,0.01351,0.82388,0.67702,0.77364,0.66006,0.66544,1.15054,0.02279,0.000876305,0.000876305,0.000876305
117,6063.29,0.4329,0.2266,0.01354,0.8278,0.67475,0.77211,0.6592,0.66503,1.1546,0.02273,0.000874241,0.000874241,0.000874241
118,6454.73,0.42118,0.21795,0.01321,0.822,0.66682,0.77394,0.66191,0.6639,1.14996,0.02269,0.000872162,0.000872162,0.000872162
119,6840.36,0.41966,0.21589,0.01318,0.81634,0.66448,0.77068,0.65734,0.65982,1.12991,0.02261,0.000870069,0.000870069,0.000870069
120,7217.01,0.42349,0.20383,0.01333,0.79504,0.67929,0.76967,0.65653,0.66028,1.13172,0.0226,0.000867961,0.000867961,0.000867961
121,7591.53,0.41898,0.20896,0.01299,0.83127,0.67547,0.77139,0.65961,0.66047,1.11873,0.0226,0.000865839,0.000865839,0.000865839
122,7967.31,0.41742,0.20907,0.01315,0.84399,0.67409,0.77213,0.66081,0.66426,1.12851,0.02265,0.000863703,0.000863703,0.000863703
